id,jurisdiction_type_x,rechtbank,gerechtshof,appeal,crime_location,verdict_date_year,verdict_date_month,crime_date_month,crime_date_year,age,minor,criminal_organization,drug_type,jurisdiction_type_y,jeugdstrafrecht
ECLI-NL-RBAMS-2016-1685,['Strafrecht'],amsterdam,,0,amsterdam,2016,mar,nov,2015,,0,0,"['hasjiesj', 'hennep']",,0
ECLI-NL-GHARN-2012-BX8100,['Strafrecht'],arnhem,’s-hertogenbosch,1,,2012,sep,nov,2008,,0,1,"['hasjiesj', 'hennep']",,0
ECLI-NL-RBMID-2010-BN4002,['Strafrecht'],middelburg,,0,nieuwdorp,2010,aug,apr,2010,,0,0,['cocaine'],,0
ECLI-NL-RBHAA-2006-AZ3151,['Strafrecht'],haarlem,,0,,2006,nov,jan,2003,,0,1,"['diacetylmorfine', 'heroine', 'mdma', 'xtc', 'coffeïne', 'cocaine']",,0
ECLI-NL-RBDOR-2006-AV0757,['Strafrecht'],dordrecht,,0,,2006,jan,dec,2004,,0,0,"['amfetamines/metamfetamines', 'hennep']",,0
ECLI-NL-GHDHA-2018-620,['Strafrecht'],rotterdam,den haag,1,,2018,feb,feb,2012,,0,0,['cocaine'],,0
ECLI-NL-GHDHA-2013-2469,['Strafrecht'],dordrecht,den haag,1,,2013,jul,feb,2008,,0,1,"['lidocaïne', 'heroine', 'hennep', 'amfetamines/metamfetamines', 'coffeïne', 'cocaine', 'fenacetine']",,0
ECLI-NL-GHSGR-2008-BG9718,['Strafrecht'],rotterdam,'s-gravenhage,1,,2008,dec,dec,2008,,0,0,"['mdma', 'xtc']",,0
ECLI-NL-RBDHA-2022-6299,['Strafrecht'],den haag,,0,,2022,jun,apr,2022,,0,0,"['cocaine', 'heroine']",['Strafrecht'],1
ECLI-NL-RBOBR-2016-4722,['Strafrecht'],oost-brabant,,0,,2016,aug,dec,2015,,0,0,['ketamine'],,0
ECLI-NL-GHSHE-2013-2581,['Strafrecht'],'s-hertogenbosch,'s-hertogenbosch,1,goirle,2013,jun,jan,2010,,0,0,['amfetamines/metamfetamines'],,0
ECLI-NL-RBOBR-2018-4540,['Strafrecht'],oost-brabant,,0,,2018,sep,aug,2001,,0,0,"['hasjiesj', 'hennep']",,0
ECLI-NL-RBZWB-2022-7930,['Strafrecht'],zeeland-west-brabant,,0,,2022,dec,aug,2022,,0,0,['ghb'],,0
ECLI-NL-OGEAA-2021-365,['Strafrecht'],,,0,,2021,may,aug,2020,,0,0,['hennep'],,0
ECLI-NL-GHAMS-2021-1342,['Strafrecht'],amsterdam,amsterdam,1,amsterdam,2021,may,dec,2017,19.0,0,0,['cocaine'],,0
ECLI-NL-RBAMS-2019-4340,['Strafrecht'],amsterdam,,0,amsterdam,2019,may,feb,2019,,0,0,['cocaine'],,0
ECLI-NL-RBNNE-2018-5102,['Strafrecht'],noord-nederland,,0,,2018,sep,oct,2016,,0,0,['hennep'],,0
ECLI-NL-GHARL-2016-10667,['Strafrecht'],gelderland,27,1,,2016,may,feb,2013,,0,0,['hennep'],,0
ECLI-NL-RBZLY-2011-BU8924,['Strafrecht'],zwolle-lelystad,,0,,2011,dec,mar,2009,,0,0,['hennep'],,0
ECLI-NL-GHLEE-2011-BQ6513,['Strafrecht'],groningen,leeuwarden,1,,2011,may,aug,2008,,0,0,['xtc'],,0
ECLI-NL-GHARN-2010-BN4739,['Strafrecht'],zwolle-lelystad,arnhem,1,,2010,aug,sep,2007,,0,0,"['cocaine', 'hennep']",,0
ECLI-NL-RBZLY-2010-BN4212,['Strafrecht'],zwolle,,0,,2010,aug,feb,2010,,0,0,['amfetamines/metamfetamines'],,0
