id,jurisdiction_type,rechtbank,gerechtshof,appeal,crime_location,verdict_date_year,verdict_date_month,crime_date_month,crime_date_year,age,minor,criminal_organization,drug_type
ECLI-NL-RBOBR-2014-7191,['Strafrecht'],oost-brabant,,0,eindhoven,2014,nov,jun,2014,,0,0,xtc
ECLI-NL-RBOBR-2014-7191,['Strafrecht'],oost-brabant,,0,eindhoven,2014,nov,jun,2014,,0,0,ketamine
ECLI-NL-RBOBR-2020-6427,['Strafrecht'],oost-brabant,,0,tilburg,2020,dec,feb,2020,21.0,0,0,mdma
ECLI-NL-RBOBR-2020-6427,['Strafrecht'],oost-brabant,,0,tilburg,2020,dec,feb,2020,21.0,0,0,xtc
ECLI-NL-RBOBR-2020-6427,['Strafrecht'],oost-brabant,,0,tilburg,2020,dec,feb,2020,21.0,0,0,hennep
ECLI-NL-RBOBR-2020-6427,['Strafrecht'],oost-brabant,,0,tilburg,2020,dec,feb,2020,21.0,0,0,cocaine
ECLI-NL-RBOBR-2020-6427,['Strafrecht'],oost-brabant,,0,tilburg,2020,dec,feb,2020,21.0,0,0,mdea
ECLI-NL-RBOBR-2020-6427,['Strafrecht'],oost-brabant,,0,tilburg,2020,dec,feb,2020,21.0,0,0,2cb
ECLI-NL-RBOBR-2020-6427,['Strafrecht'],oost-brabant,,0,tilburg,2020,dec,feb,2020,21.0,0,0,amfetamines/metamfetamines
ECLI-NL-RBOBR-2020-6427,['Strafrecht'],oost-brabant,,0,tilburg,2020,dec,feb,2020,21.0,0,0,tenamfetamine
ECLI-NL-RBMNE-2018-5689,['Strafrecht'],midden-nederland,,0,hilversum,2018,nov,mar,2018,,0,0,mdma
ECLI-NL-RBMNE-2018-5689,['Strafrecht'],midden-nederland,,0,hilversum,2018,nov,mar,2018,,0,0,cocaine
ECLI-NL-RBNNE-2022-3765,['Strafrecht'],noord-nederland,,0,groningen,2022,oct,mar,2022,,0,0,hennep
ECLI-NL-RBMNE-2018-3791,['Strafrecht'],midden-nederland,,0,almere,2018,jul,nov,2017,18.0,0,0,mdma
ECLI-NL-RBMNE-2018-3791,['Strafrecht'],midden-nederland,,0,almere,2018,jul,nov,2017,18.0,0,0,hennep
ECLI-NL-RBMNE-2018-3791,['Strafrecht'],midden-nederland,,0,almere,2018,jul,nov,2017,18.0,0,0,hasjiesj
ECLI-NL-RBMNE-2018-3791,['Strafrecht'],midden-nederland,,0,almere,2018,jul,nov,2017,18.0,0,0,cocaine
ECLI-NL-RBMNE-2018-3791,['Strafrecht'],midden-nederland,,0,almere,2018,jul,nov,2017,18.0,0,0,amfetamines/metamfetamines
ECLI-NL-RBNNE-2021-3045,['Strafrecht'],noord-nederland,,0,hurdegaryp,2021,jul,may,2020,21.0,0,0,cocaine
ECLI-NL-RBGEL-2021-291,['Strafrecht'],gelderland,,0,zaltbommel,2021,jan,sep,2020,23.0,0,0,cocaine
ECLI-NL-GHSHE-2021-3144,['Strafrecht'],oost-brabant,'s-hertogenbosch,1,drempt,2021,oct,may,2020,20.0,0,0,aceton
